Temperature,pH,LobsterWeight,feed_amount
23.00,5.00,100.00,3.32
23.10,5.00,100.00,3.37
23.20,5.00,100.00,3.41
23.30,5.00,100.00,3.46
23.40,5.00,100.00,3.50
23.50,5.00,100.00,3.54
23.60,5.00,100.00,3.58
23.70,5.00,100.00,3.62
23.80,5.00,100.00,3.65
23.90,5.00,100.00,3.69
24.00,5.00,100.00,3.72
24.10,5.00,100.00,3.75
24.20,5.00,100.00,3.78
24.30,5.00,100.00,3.81
24.40,5.00,100.00,3.84
24.50,5.00,100.00,3.87
24.60,5.00,100.00,3.90
24.70,5.00,100.00,3.92
24.80,5.00,100.00,3.95
24.90,5.00,100.00,3.97
25.00,5.00,100.00,4.00
29.00,5.00,100.00,4.00
29.10,5.00,100.00,3.97
29.20,5.00,100.00,3.95
29.30,5.00,100.00,3.92
29.40,5.00,100.00,3.90
29.50,5.00,100.00,3.87
29.60,5.00,100.00,3.84
29.70,5.00,100.00,3.81
29.80,5.00,100.00,3.78
29.90,5.00,100.00,3.75
30.00,5.00,100.00,3.72
30.10,5.00,100.00,3.69
30.20,5.00,100.00,3.65
30.30,5.00,100.00,3.62
30.40,5.00,100.00,3.58
30.50,5.00,100.00,3.54
30.60,5.00,100.00,3.50
30.70,5.00,100.00,3.46
30.80,5.00,100.00,3.41
30.90,5.00,100.00,3.37
31.00,5.00,100.00,3.32
23.00,5.10,100.00,3.38
23.10,5.10,100.00,3.43
23.20,5.10,100.00,3.48
23.30,5.10,100.00,3.52
23.40,5.10,100.00,3.56
23.50,5.10,100.00,3.60
23.60,5.10,100.00,3.63
23.70,5.10,100.00,3.67
23.80,5.10,100.00,3.70
23.90,5.10,100.00,3.73
24.00,5.10,100.00,3.77
24.10,5.10,100.00,3.80
24.20,5.10,100.00,3.82
24.30,5.10,100.00,3.85
24.40,5.10,100.00,3.88
24.50,5.10,100.00,3.91
24.60,5.10,100.00,3.93
24.70,5.10,100.00,3.96
24.80,5.10,100.00,3.98
24.90,5.10,100.00,4.01
25.00,5.10,100.00,4.03
29.00,5.10,100.00,4.03
29.10,5.10,100.00,4.01
29.20,5.10,100.00,3.98
29.30,5.10,100.00,3.96
29.40,5.10,100.00,3.93
29.50,5.10,100.00,3.91
29.60,5.10,100.00,3.88
29.70,5.10,100.00,3.85
29.80,5.10,100.00,3.82
29.90,5.10,100.00,3.80
30.00,5.10,100.00,3.77
30.10,5.10,100.00,3.73
30.20,5.10,100.00,3.70
30.30,5.10,100.00,3.67
30.40,5.10,100.00,3.63
30.50,5.10,100.00,3.60
30.60,5.10,100.00,3.56
30.70,5.10,100.00,3.52
30.80,5.10,100.00,3.48
30.90,5.10,100.00,3.43
31.00,5.10,100.00,3.38
23.00,5.20,100.00,3.44
23.10,5.20,100.00,3.49
23.20,5.20,100.00,3.54
23.30,5.20,100.00,3.58
23.40,5.20,100.00,3.62
23.50,5.20,100.00,3.65
23.60,5.20,100.00,3.69
23.70,5.20,100.00,3.72
23.80,5.20,100.00,3.75
23.90,5.20,100.00,3.78
24.00,5.20,100.00,3.81
24.10,5.20,100.00,3.84
24.20,5.20,100.00,3.86
24.30,5.20,100.00,3.89
24.40,5.20,100.00,3.92
24.50,5.20,100.00,3.94
24.60,5.20,100.00,3.97
24.70,5.20,100.00,3.99
24.80,5.20,100.00,4.02
24.90,5.20,100.00,4.04
25.00,5.20,100.00,4.07
29.00,5.20,100.00,4.07
29.10,5.20,100.00,4.04
29.20,5.20,100.00,4.02
29.30,5.20,100.00,3.99
29.40,5.20,100.00,3.97
29.50,5.20,100.00,3.94
29.60,5.20,100.00,3.92
29.70,5.20,100.00,3.89
29.80,5.20,100.00,3.86
29.90,5.20,100.00,3.84
30.00,5.20,100.00,3.81
30.10,5.20,100.00,3.78
30.20,5.20,100.00,3.75
30.30,5.20,100.00,3.72
30.40,5.20,100.00,3.69
30.50,5.20,100.00,3.65
30.60,5.20,100.00,3.62
30.70,5.20,100.00,3.58
30.80,5.20,100.00,3.54
30.90,5.20,100.00,3.49
31.00,5.20,100.00,3.44
23.00,5.30,100.00,3.50
23.10,5.30,100.00,3.55
23.20,5.30,100.00,3.59
23.30,5.30,100.00,3.63
23.40,5.30,100.00,3.67
23.50,5.30,100.00,3.70
23.60,5.30,100.00,3.73
23.70,5.30,100.00,3.76
23.80,5.30,100.00,3.79
23.90,5.30,100.00,3.82
24.00,5.30,100.00,3.85
24.10,5.30,100.00,3.88
24.20,5.30,100.00,3.90
24.30,5.30,100.00,3.93
24.40,5.30,100.00,3.95
24.50,5.30,100.00,3.98
24.60,5.30,100.00,4.00
24.70,5.30,100.00,4.02
24.80,5.30,100.00,4.05
24.90,5.30,100.00,4.08
25.00,5.30,100.00,4.10
29.00,5.30,100.00,4.10
29.10,5.30,100.00,4.08
29.20,5.30,100.00,4.05
29.30,5.30,100.00,4.02
29.40,5.30,100.00,4.00
29.50,5.30,100.00,3.98
29.60,5.30,100.00,3.95
29.70,5.30,100.00,3.93
29.80,5.30,100.00,3.90
29.90,5.30,100.00,3.88
30.00,5.30,100.00,3.85
30.10,5.30,100.00,3.82
30.20,5.30,100.00,3.79
30.30,5.30,100.00,3.76
30.40,5.30,100.00,3.73
30.50,5.30,100.00,3.70
30.60,5.30,100.00,3.67
30.70,5.30,100.00,3.63
30.80,5.30,100.00,3.59
30.90,5.30,100.00,3.55
31.00,5.30,100.00,3.50
23.00,5.40,100.00,3.55
23.10,5.40,100.00,3.60
23.20,5.40,100.00,3.64
23.30,5.40,100.00,3.68
23.40,5.40,100.00,3.71
23.50,5.40,100.00,3.75
23.60,5.40,100.00,3.78
23.70,5.40,100.00,3.81
23.80,5.40,100.00,3.83
23.90,5.40,100.00,3.86
24.00,5.40,100.00,3.89
