Temperature,pH,LobsterWeight,Temperature_Membership_Params,PH_Membership_Params,Temperature_Memberships,PH_Memberships,Takaran_Membership_Params,Takaran_Memberships,Alpha_Predikats,a_values
23.0,5.0,100.0,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 1.0, 'netral': 0.0, 'basa': 0.0}","{'sedikit': [3.0, 3.0, 3.5, 3.75], 'sedang': [3.5, 3.75, 4.25, 4.5], 'banyak': [4.25, 4.5, 5.0, 5.0]}","{'sedikit': 1.0, 'sedang': 0.0, 'banyak': 0.0}",{'Rule 4': 1.0},"[{'alpha_level': 1.0, 'a_values': [3.0, 3.5]}]"
23.1,5.0,100.0,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.95, 'normal': 0.05, 'tinggi': 0.0}","{'asam': 1.0, 'netral': 0.0, 'basa': 0.0}","{'sedikit': [3.0, 3.0, 3.5, 3.75], 'sedang': [3.5, 3.75, 4.25, 4.5], 'banyak': [4.25, 4.5, 5.0, 5.0]}","{'sedikit': 1.0, 'sedang': 0.0, 'banyak': 0.0}","{'Rule 1': 0.05, 'Rule 4': 0.95}","[{'alpha_level': 0.95, 'a_values': [3.0, 3.51]}, {'alpha_level': 0.05, 'a_values': [3.0, 4.49]}]"
23.2,5.0,100.0,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.9, 'normal': 0.1, 'tinggi': 0.0}","{'asam': 1.0, 'netral': 0.0, 'basa': 0.0}","{'sedikit': [3.0, 3.0, 3.5, 3.75], 'sedang': [3.5, 3.75, 4.25, 4.5], 'banyak': [4.25, 4.5, 5.0, 5.0]}","{'sedikit': 1.0, 'sedang': 0.0, 'banyak': 0.0}","{'Rule 1': 0.1, 'Rule 4': 0.9}","[{'alpha_level': 0.9, 'a_values': [3.0, 3.52]}, {'alpha_level': 0.1, 'a_values': [3.0, 4.47]}]"
23.3,5.0,100.0,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.85, 'normal': 0.15, 'tinggi': 0.0}","{'asam': 1.0, 'netral': 0.0, 'basa': 0.0}","{'sedikit': [3.0, 3.0, 3.5, 3.75], 'sedang': [3.5, 3.75, 4.25, 4.5], 'banyak': [4.25, 4.5, 5.0, 5.0]}","{'sedikit': 1.0, 'sedang': 0.0, 'banyak': 0.0}","{'Rule 1': 0.15, 'Rule 4': 0.85}","[{'alpha_level': 0.85, 'a_values': [3.0, 3.54]}, {'alpha_level': 0.15, 'a_values': [3.0, 4.46]}]"
23.4,5.0,100.0,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.8, 'normal': 0.2, 'tinggi': 0.0}","{'asam': 1.0, 'netral': 0.0, 'basa': 0.0}","{'sedikit': [3.0, 3.0, 3.5, 3.75], 'sedang': [3.5, 3.75, 4.25, 4.5], 'banyak': [4.25, 4.5, 5.0, 5.0]}","{'sedikit': 0.9992, 'sedang': 0.0008, 'banyak': 0.0}","{'Rule 1': 0.2, 'Rule 4': 0.8}","[{'alpha_level': 0.8, 'a_values': [3.0, 3.55]}, {'alpha_level': 0.2, 'a_values': [3.0, 4.45]}]"
23.5,5.0,100.0,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.75, 'normal': 0.25, 'tinggi': 0.0}","{'asam': 1.0, 'netral': 0.0, 'basa': 0.0}","{'sedikit': [3.0, 3.0, 3.5, 3.75], 'sedang': [3.5, 3.75, 4.25, 4.5], 'banyak': [4.25, 4.5, 5.0, 5.0]}","{'sedikit': 0.8374, 'sedang': 0.1626, 'banyak': 0.0}","{'Rule 1': 0.25, 'Rule 4': 0.75}","[{'alpha_level': 0.75, 'a_values': [3.0, 3.56]}, {'alpha_level': 0.25, 'a_values': [3.0, 4.44]}]"
23.6,5.0,100.0,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.7, 'normal': 0.3, 'tinggi': 0.0}","{'asam': 1.0, 'netral': 0.0, 'basa': 0.0}","{'sedikit': [3.0, 3.0, 3.5, 3.75], 'sedang': [3.5, 3.75, 4.25, 4.5], 'banyak': [4.25, 4.5, 5.0, 5.0]}","{'sedikit': 0.6828, 'sedang': 0.3172, 'banyak': 0.0}","{'Rule 1': 0.3, 'Rule 4': 0.7}","[{'alpha_level': 0.7, 'a_values': [3.0, 3.57]}, {'alpha_level': 0.3, 'a_values': [3.0, 4.42]}]"
23.7,5.0,100.0,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.65, 'normal': 0.35, 'tinggi': 0.0}","{'asam': 1.0, 'netral': 0.0, 'basa': 0.0}","{'sedikit': [3.0, 3.0, 3.5, 3.75], 'sedang': [3.5, 3.75, 4.25, 4.5], 'banyak': [4.25, 4.5, 5.0, 5.0]}","{'sedikit': 0.5347, 'sedang': 0.4653, 'banyak': 0.0}","{'Rule 1': 0.35, 'Rule 4': 0.65}","[{'alpha_level': 0.65, 'a_values': [3.0, 3.59]}, {'alpha_level': 0.35, 'a_values': [3.0, 4.41]}]"
23.8,5.0,100.0,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.6, 'normal': 0.4, 'tinggi': 0.0}","{'asam': 1.0, 'netral': 0.0, 'basa': 0.0}","{'sedikit': [3.0, 3.0, 3.5, 3.75], 'sedang': [3.5, 3.75, 4.25, 4.5], 'banyak': [4.25, 4.5, 5.0, 5.0]}","{'sedikit': 0.3926, 'sedang': 0.6074, 'banyak': 0.0}","{'Rule 1': 0.4, 'Rule 4': 0.6}","[{'alpha_level': 0.6, 'a_values': [3.0, 3.6]}, {'alpha_level': 0.4, 'a_values': [3.0, 4.4]}]"
23.9,5.0,100.0,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.55, 'normal': 0.45, 'tinggi': 0.0}","{'asam': 1.0, 'netral': 0.0, 'basa': 0.0}","{'sedikit': [3.0, 3.0, 3.5, 3.75], 'sedang': [3.5, 3.75, 4.25, 4.5], 'banyak': [4.25, 4.5, 5.0, 5.0]}","{'sedikit': 0.2559, 'sedang': 0.7441, 'banyak': 0.0}","{'Rule 1': 0.45, 'Rule 4': 0.55}","[{'alpha_level': 0.55, 'a_values': [3.0, 3.61]}, {'alpha_level': 0.45, 'a_values': [3.0, 4.39]}]"
