Temperature,pH,Time
-,-,2024-08-10 08:00:00
25.13,6.84,2024-08-10 18:00:50
22.31,6.66,2024-08-11 08:00:14
23.0,6.7,2024-08-11 18:00:19
19.75,6.52,2024-08-12 08:00:24
23.13,6.73,2024-08-12 18:00:29
20.69,6.57,2024-08-13 08:01:01
23.88,6.77,2024-08-13 18:00:15
21.44,6.61,2024-08-14 08:01:00
24.06,6.77,2024-08-14 18:00:20
21.19,6.57,2024-08-15 08:00:54
23.19,6.72,2024-08-15 18:00:51
20.31,6.55,2024-08-16 08:00:52
25.38,6.79,2024-08-16 17:14:06
26.13,6.86,2024-08-17 07:40:20
-,-,2024-08-17 18:00:00
24.88,6.82,2024-08-19 08:00:01
-,-,2024-08-19 18:00:00
-,-,2024-08-22 08:00:00
-,-,2024-08-22 18:00:00
-,-,2024-08-24 08:00:00
24.0,6.75,2024-08-24 18:01:05
22.0,6.62,2024-08-25 08:02:08
24.38,6.76,2024-08-25 18:02:08
22.94,6.66,2024-08-26 08:01:10
25.19,6.79,2024-08-26 18:00:08
22.44,6.63,2024-08-27 08:02:11
23.63,6.66,2024-08-27 18:02:51
24.5,6.66,2024-08-28 08:03:37
25.0,6.76,2024-08-28 18:04:08
22.69,6.6,2024-08-29 08:01:05
24.13,6.68,2024-08-29 18:04:08
22.06,6.56,2024-08-30 08:01:07
24.19,6.7,2024-08-30 18:02:09
22.25,6.6,2024-08-31 08:02:08
24.81,6.74,2024-08-31 18:02:14
23.13,6.63,2024-09-01 08:02:13
24.94,6.73,2024-09-01 18:02:11
23.13,6.65,2024-09-02 08:02:10
24.38,6.75,2024-09-02 18:01:02
23.94,6.59,2024-09-03 08:02:11
24.25,6.72,2024-09-03 18:02:09
25.19,6.62,2024-09-04 08:01:05
24.81,6.75,2024-09-04 18:02:09
25.44,6.66,2024-09-05 08:02:09
24.75,6.75,2024-09-05 18:02:08
24.81,6.57,2024-09-06 08:01:11
24.69,6.76,2024-09-06 18:02:09
24.69,6.59,2024-09-07 08:02:11
24.88,6.71,2024-09-07 18:02:08
23.88,6.66,2024-09-08 08:02:18
25.13,6.71,2024-09-08 18:02:09
23.5,6.65,2024-09-09 08:02:09
25.69,6.74,2024-09-09 18:02:11
23.75,6.64,2024-09-10 08:01:08
25.13,6.74,2024-09-10 18:02:08
23.56,6.66,2024-09-11 08:02:09
25.44,6.74,2024-09-11 18:02:08
22.88,6.64,2024-09-12 08:02:08
24.88,6.73,2024-09-12 18:02:15
21.94,6.54,2024-09-13 08:00:49
24.38,6.68,2024-09-13 18:00:50
22.0,6.57,2024-09-14 08:00:36
24.19,6.67,2024-09-14 18:00:30
21.88,6.53,2024-09-15 08:00:44
24.44,6.65,2024-09-15 18:00:13
22.38,6.57,2024-09-16 08:00:19
24.31,6.68,2024-09-16 18:00:34
21.94,6.53,2024-09-17 08:00:23
23.63,6.66,2024-09-17 18:00:32
21.31,6.53,2024-09-18 08:00:13
23.63,6.65,2024-09-18 18:00:18
21.06,6.52,2024-09-19 08:00:46
24.63,6.71,2024-09-19 18:00:49
22.0,6.56,2024-09-20 08:00:11
25.19,6.73,2024-09-20 18:00:02
21.94,6.56,2024-09-21 08:00:07
25.06,6.68,2024-09-21 18:00:55
22.81,6.6,2024-09-22 08:00:45
26.0,6.77,2024-09-22 18:00:01
24.0,6.66,2024-09-23 08:00:12
24.75,6.67,2024-09-23 18:00:10
23.56,6.66,2024-09-24 08:00:44
24.88,6.68,2024-09-24 18:00:45
23.5,6.63,2024-09-25 08:00:50
24.19,6.7,2024-09-25 18:00:13
23.63,6.65,2024-09-26 08:00:44
25.31,6.74,2024-09-26 18:00:15
