Time,Temperatur,pH,feed_amount
2024-08-10 08:00,-,-,-
2024-08-10 18:00,25.13,6.84,27.4289
2024-08-11 08:00,22.31,6.66,23.2
2024-08-11 18:00,23.0,6.7,23.2
2024-08-12 08:00,19.75,6.52,23.2
2024-08-12 18:00,23.13,6.73,23.3906
2024-08-13 08:01,20.69,6.57,23.2
2024-08-13 18:00,23.88,6.77,24.6016
2024-08-14 08:01,21.44,6.61,23.2
2024-08-14 18:00,24.06,6.77,24.9261
2024-08-15 08:00,21.19,6.57,23.2
2024-08-15 18:00,23.19,6.72,23.4802
2024-08-16 08:00,20.31,6.55,23.2
2024-08-16 17:14,25.38,6.79,27.4289
2024-08-17 07:40,26.13,6.86,27.4289
2024-08-17 18:00,-,-,-
2024-08-19 08:00,24.88,6.82,28.3345
2024-08-19 18:00,-,-,-
2024-08-22 08:00,-,-,-
2024-08-22 18:00,-,-,-
2024-08-24 08:00,-,-,-
2024-08-24 18:01,24.0,6.75,30.2066
2024-08-25 08:02,22.0,6.62,28.24
2024-08-25 18:02,24.38,6.76,31.137
2024-08-26 08:01,22.94,6.66,28.24
2024-08-26 18:00,25.19,6.79,33.3876
2024-08-27 08:02,22.44,6.63,28.24
2024-08-27 18:02,23.63,6.66,29.4267
2024-08-28 08:03,24.5,6.66,31.4848
2024-08-28 18:04,25.0,6.76,33.3876
2024-08-29 08:01,22.69,6.6,28.24
2024-08-29 18:04,24.13,6.68,30.5028
2024-08-30 08:01,22.06,6.56,28.24
2024-08-30 18:02,24.19,6.7,30.6461
2024-08-31 08:02,22.25,6.6,29.84
2024-08-31 18:02,24.81,6.74,34.4054
2024-09-01 08:02,23.13,6.63,30.0852
2024-09-01 18:02,24.94,6.73,34.9854
2024-09-02 08:02,23.13,6.65,30.0852
2024-09-02 18:01,24.38,6.75,32.9012
2024-09-03 08:02,23.94,6.59,31.7791
2024-09-03 18:02,24.25,6.72,32.5391
2024-09-04 08:01,25.19,6.62,35.2793
2024-09-04 18:02,24.81,6.75,34.4054
2024-09-05 08:02,25.44,6.66,35.2793
2024-09-05 18:02,24.75,6.75,34.1607
2024-09-06 08:01,24.81,6.57,34.4054
2024-09-06 18:02,24.69,6.76,33.9289
2024-09-07 08:02,24.69,6.59,35.4298
2024-09-07 18:02,24.88,6.71,36.244
2024-09-08 08:02,23.88,6.66,33.0426
2024-09-08 18:02,25.13,6.71,36.8399
2024-09-09 08:02,23.5,6.65,32.1831
2024-09-09 18:02,25.69,6.74,36.8399
2024-09-10 08:01,23.75,6.64,32.7416
2024-09-10 18:02,25.13,6.74,36.8399
2024-09-11 08:02,23.56,6.66,32.314
2024-09-11 18:02,25.44,6.74,36.8399
2024-09-12 08:02,22.88,6.64,31.16
2024-09-12 18:02,24.88,6.73,36.244
2024-09-13 08:00,21.94,6.54,31.16
2024-09-13 18:00,24.38,6.68,34.3566
2024-09-14 08:00,22.0,6.57,32.72
2024-09-14 18:00,24.19,6.67,35.5078
2024-09-15 08:00,21.88,6.53,32.72
2024-09-15 18:00,24.44,6.65,36.2734
2024-09-16 08:00,22.38,6.57,32.72
2024-09-16 18:00,24.31,6.68,35.8583
2024-09-17 08:00,21.94,6.53,32.72
2024-09-17 18:00,23.63,6.66,34.095
2024-09-18 08:00,21.31,6.53,32.72
2024-09-18 18:00,23.63,6.65,34.095
2024-09-19 08:00,21.06,6.52,32.72
2024-09-19 18:00,24.63,6.71,36.9624
2024-09-20 08:00,22.0,6.56,32.72
2024-09-20 18:00,25.19,6.73,38.6843
2024-09-21 08:00,21.94,6.56,34.04
2024-09-21 18:00,25.06,6.68,40.2449
2024-09-22 08:00,22.81,6.6,34.04
2024-09-22 18:00,26.0,6.77,40.2449
2024-09-23 08:00,24.0,6.66,36.4106
2024-09-23 18:00,24.75,6.67,38.9689
2024-09-24 08:00,23.56,6.66,35.3007
2024-09-24 18:00,24.88,6.68,39.594
2024-09-25 08:00,23.5,6.63,35.1577
2024-09-25 18:00,24.19,6.7,36.9403
2024-09-26 08:00,23.63,6.65,35.4705
2024-09-26 18:00,25.31,6.74,40.2449
